Name,Website,Email,sent?
1000112622 Ontario Inc. dba Mapleflow Global Trade,Not applicable,mapleflowglobal@gmail.com,
1000362615 Ontario Inc.,Not applicable,1000362615ontarioinc@gmail.com,
1000613437 Ontario Inc. dba Scarbrough International (CA),thescarbroughgroup.com,nbrenie@scarbroughglobal.com,Sent
1001099124 Ontario Inc. o/a LCC Customs Brokers,Not applicable,lcccustomsbrokers@gmail.com,
10119070 Manitoba Ltd. dba GHY eBiz,ghyebiz.com,info@ghyebiz.com,
10451029 Canada Inc.,reliablelogistics.ca,info@reliablelogistics.ca,
dba Reliable Logistics,,,
1149893 Ontario Inc.,bcbinternational.com,Not applicable,
O/A BCB Canada,,,
11619896 Canada Incorporated,Not applicable,gns.unitedcustoms@gmail.com,
123 Customsquote.com Inc.,customsquote.com,Not applicable,
o/a Customsquote Brokerage Services,,,
12867982 Canada Inc.,www.ship2canada.ca,customs@ship2canada.ca,
13021092 Canada Inc. dba TIMIS Trade Services,Not applicable,admin@13021092canadainc.onmicrosoft.com,
13883825 Canada Inc. dba ADA Customs Brokers,Not applicable,Not applicable,
14114817 Canada Inc. dba uCustoms,ucustoms.ca,support@ucustoms.ca,
14951166 Canada Inc. o/a Import Desk,importdesk.ca,info@importdesk.ca,
15679648 Canada Inc. dba Beta Customs Broker,betacustoms.com,info@betacustoms.com,
15736161 Canada Inc. dba Borderlink,border-link.ca,customs@border-link.ca,
15959896 Canada Inc. o/a A1 Global Customs Brokerage,Not applicable,cs@a1gcb.com,
2192433 Ontario Inc.,usav.ca,info@usav.ca,
O/A USAV Customs Brokers,,,
2222614 Ontario Inc.,Not applicable,info@bbecustoms.com,
O/A BBE Customs Brokers & Consulting,,,
2378395 Ontario Inc. o/a Port 7 Customs Brokerage,port7.ca,sales@port7cb.com ,
2398589 Ontario Inc. dba Prestige World,prestigeworld.ca,hyeurie@prestigeworld.ca ,
2480123 Ontario Inc. dba Express Customs Broker,expresscustomsbroker.ca,sukhvinderjitsingh@hotmail.com,
2528134 Ontario Ltd. dba Bridge Logistics,bridgelogisticsgroup.com,customs@bridgelogistics.ca,
3515851 Canada Inc.,Not applicable,info@deltacustomsbrokers.ca,
dba Delta Customs Brokers,,,
6382134 Canada Inc.,gclogistics.ca,info@gclogistics.ca,
O/A G&C Logistics,,,
6924107 Canada Incorporated,fourpointscb.com,info@fourpointscb.com,
O/A Four Points Customs Brokers,,,
7123027 Canada Inc. o/a Bartlett Customs Consulting,Not applicable,bartlettcustomsconsulting@gmail.com,
7658320 Canada Corp.,sksfreight-brokerage.com,imports@sksfreight-brokerage.com,
o/a SKS Freight & Brokerage,,,
820177 Ontario Inc.,whiteandwhitecustoms.com,info@whitecustoms.com,
O/A White & White Customs Brokers,,,
9343-0171 Quebec Inc. dba Maska International,maskacustoms.com,info@maskacustoms.com,
,,pars@maskacustoms.com,
9405-8849 Quebec Inc. dba Logbec,logbec.com,info@logbec.com,
9498-4069 Quebec Inc. o/a ACI Services à l’échelle mondiale / ACI World Services,aciworldservices.com,chiara@aciworldservices.com,
979861 Ontario Inc. o/a Total Express,totalexpress.ca,Not applicable,
A & A Customs Brokers,aacb.com,service@aacb.com,
,,president@aacb.com,
A&B Customs Brokers Inc.,abcustoms.ca,Not applicable,
A. Hartrodt Canada Ltd.,hartrodt.com,info.ca@hartrodt.com,
A. Harvey Logistics Division of A. Harvey & Company Limited,aharvey.com,logistics@aharvey.nf.ca,
A.E Horne and Son Ltd.,aehorne.com,imports@aehorne.com,
A2Z Customs Inc.,Not applicable,info@a2zcustomsinc.com,
Aafaqui Alafzal Customs Brokerage Inc.,aacbiz.com,customs@aacbiz.com,
ABC Customs Brokers Ltd.,abccustoms.com,info@abccustoms.com,
Academy Customs & Traffic Inc.,Not applicable,academy@academycustoms.ca,
AccessLogix Customs Corp.,Not applicable,customs@jiayouexp.com AccessLogix@jiayouexp.com,
Accurate Customs Brokers Ltd.,acbcustoms.com,info@acbcustoms.com,
Ace Trade & Customs Service Inc.,acetcs.ca,galen@acetcs.ca,
Action Customs Services Inc.,actionago.com,customs@agotrans.com,
Active Customs Brokers Ltd.,activegroup.com,Richard@activegroup.com,
"Advanced Global Transportation Technologies, Inc.",agtt.ca,processing@agtt.ca,
AHL Professional Services Ltd.,www.ahlcustomsbroker.com,info@ahlcustomsbroker.com,
AL Alpha Logistics Inc.,alphalogistiques.com,Not applicable,
Alberta Customs and Freight Ltd.,acaf.ca,trevor@acaf.ca,
Alibaba Canada Customs Brokers Inc.,Not applicable,li.li@mytwu.ca,
All Trade Customs Brokers Corporation,alltradecb.com,info@alltradecb.com,
All Ways Customs Brokers Inc.,acbcustoms.com,info@acbcustoms.com,
Altair Logistics Ltd.,altair-logistics.ca,info@altair-logistics.ca ,
Altera Customs Services Inc.,Not applicable,info@alteraservices.com,
Amar Transport Inc. dba Amar Group,www.amargroup.com,customs@amargroup.com,
Ambassador Customs Brokerage Inc.,ambassadorcustoms.ca ,info@ambassadorcustoms.com ,
Ameri-Connect Freight Services Inc.,ameri-connect.com,customsdept@ameri-connect.com ,
